#    x (m)        y (m)        T(x,y) (°C)
    7.058824    1.411765   55.044478
    7.294118    1.411765   55.058165
    7.529412    1.411765   55.050624
    7.764706    1.411765   55.028911
    8.000000    1.411765   55.000000

    0.000000    1.500000   15.000000
    0.235294    1.500000   18.091011
    0.470588    1.500000   21.153769
    0.705882    1.500000   24.160790
    0.941176    1.500000   27.086834
    1.176471    1.500000   29.909738
    1.411765    1.500000   32.610958
    1.647059    1.500000   35.175810
    1.882353    1.500000   37.593439
    2.117647    1.500000   39.856579
    2.352941    1.500000   41.961158
    2.588235    1.500000   43.905827
    2.823529    1.500000   45.691449
    3.058824    1.500000   47.320620
    3.294118    1.500000   48.797212
    3.529412    1.500000   50.125989
    3.764706    1.500000   51.312281
    4.000000    1.500000   52.361732
    4.235294    1.500000   53.280104
    4.470588    1.500000   54.073154
    4.705882    1.500000   54.746553
    4.941176    1.500000   55.305861
    5.176471    1.500000   55.756551
    5.411765    1.500000   56.104063
    5.647059    1.500000   56.353898
    5.882353    1.500000   56.511746
    6.117647    1.500000   56.583621
    6.352941    1.500000   56.576022
    6.588235    1.500000   56.496082
    6.823529    1.500000   56.351700
    7.058824    1.500000   56.151639
    7.294118    1.500000   55.905557
    7.529412    1.500000   55.623982
    7.764706    1.500000   55.318187
    8.000000    1.500000   55.000000

    0.000000    1.588235   15.000000
    0.235294    1.588235   18.400967
    0.470588    1.588235   21.767734
    0.705882    1.588235   25.067301
    0.941176    1.588235   28.269695
    1.176471    1.588235   31.349036
    1.411765    1.588235   34.284182
    1.647059    1.588235   37.058933
    1.882353    1.588235   39.661882
    2.117647    1.588235   42.085982
    2.352941    1.588235   44.327944
    2.588235    1.588235   46.387555
    2.823529    1.588235   48.266995
    3.058824    1.588235   49.970191
    3.294118    1.588235   51.502251
    3.529412    1.588235   52.868986
    3.764706    1.588235   54.076530
    4.000000    1.588235   55.131039
    4.235294    1.588235   56.038486
    4.470588    1.588235   56.804522
    4.705882    1.588235   57.434415
    4.941176    1.588235   57.933044
    5.176471    1.588235   58.304967
    5.411765    1.588235   58.554537
    5.647059    1.588235   58.686089
    5.882353    1.588235   58.704173
    6.117647    1.588235   58.613840
    6.352941    1.588235   58.420971
    6.588235    1.588235   58.132608
    6.823529    1.588235   57.757282
    7.058824    1.588235   57.305261
    7.294118    1.588235   56.788705
    7.529412    1.588235   56.221641
    7.764706    1.588235   55.619759
    8.000000    1.588235   55.000000

    0.000000    1.676471   15.000000
    0.235294    1.676471   18.745780
    0.470588    1.676471   22.449791
    0.705882    1.676471   26.072100
    0.941176    1.676471   29.576929
    1.176471    1.676471   32.934043
    1.411765    1.676471   36.119484
    1.647059    1.676471   39.115695
    1.882353    1.676471   41.911145
    2.117647    1.676471   44.499608
    2.352941    1.676471   46.879256
    2.588235    1.676471   49.051703
    2.823529    1.676471   51.021084
    3.058824    1.676471   52.793226
    3.294118    1.676471   54.374949
    3.529412    1.676471   55.773500
    3.764706    1.676471   56.996106
    4.000000    1.676471   58.049651
    4.235294    1.676471   58.940452
    4.470588    1.676471   59.674123
    4.705882    1.676471   60.255528
    4.941176    1.676471   60.688806
    5.176471    1.676471   60.977478
    5.411765    1.676471   61.124634
    5.647059    1.676471   61.133202
    5.882353    1.676471   61.006310
    6.117647    1.676471   60.747725
    6.352941    1.676471   60.362369
    6.588235    1.676471   59.856881
    6.823529    1.676471   59.240161
    7.058824    1.676471   58.523846
    7.294118    1.676471   57.722608
    7.529412    1.676471   56.854191
    7.764706    1.676471   55.939112
    8.000000    1.676471   55.000000

    0.000000    1.764706   15.000000
    0.235294    1.764706   19.132997
    0.470588    1.764706   23.214413
    0.705882    1.764706   27.195454
    0.941176    1.764706   31.033154
    1.176471    1.764706   34.692181
    1.411765    1.764706   38.145638
    1.647059    1.764706   41.374989
    1.882353    1.764706   44.369295
    2.117647    1.764706   47.124054
    2.352941    1.764706   49.639862
    2.588235    1.764706   51.921081
    2.823529    1.764706   53.974623
    3.058824    1.764706   55.808917
    3.294118    1.764706   57.433066
    3.529412    1.764706   58.856192
    3.764706    1.764706   60.086946
    4.000000    1.764706   61.133162
    4.235294    1.764706   62.001637
    4.470588    1.764706   62.697997
    4.705882    1.764706   63.226678
    4.941176    1.764706   63.590972
    5.176471    1.764706   63.793179
    5.411765    1.764706   63.834857
    5.647059    1.764706   63.717170
    5.882353    1.764706   63.441382
    6.117647    1.764706   63.009461
    6.352941    1.764706   62.424817
    6.588235    1.764706   61.693133
    6.823529    1.764706   60.823212
    7.058824    1.764706   59.827760
    7.294118    1.764706   58.723926
    7.529412    1.764706   57.533473
    7.764706    1.764706   56.282402
    8.000000    1.764706   55.000000

    0.000000    1.852941   15.000000
    0.235294    1.852941   19.572405
    0.470588    1.852941   24.080239
    0.705882    1.852941   28.463177
    0.941176    1.852941   32.669272
    1.176471    1.852941   36.657279
    1.411765    1.852941   40.397448
    1.647059    1.852941   43.871015
    1.882353    1.852941   47.068800
    2.117647    1.852941   49.989364
    2.352941    1.852941   52.637056
    2.588235    1.852941   55.020197
    2.823529    1.852941   57.149516
    3.058824    1.852941   59.036886
    3.294118    1.852941   60.694347
    3.529412    1.852941   62.133384
    3.764706    1.852941   63.364420
    4.000000    1.852941   64.396468
    4.235294    1.852941   65.236922
    4.470588    1.852941   65.891461
    4.705882    1.852941   66.364030
    4.941176    1.852941   66.656933
    5.176471    1.852941   66.771003
    5.411765    1.852941   66.705905
    5.647059    1.852941   66.460564
    5.882353    1.852941   66.033766
    6.117647    1.852941   65.424945
    6.352941    1.852941   64.635175
    6.588235    1.852941   63.668329
    6.823529    1.852941   62.532342
    7.058824    1.852941   61.240437
    7.294118    1.852941   59.812085
    7.529412    1.852941   58.273432
    7.764706    1.852941   56.656928
    8.000000    1.852941   55.000000

    0.000000    1.941176   15.000000
    0.235294    1.941176   20.076968
    0.470588    1.941176   25.071743
    0.705882    1.941176   29.908720
    0.941176    1.941176   34.524631
    1.176471    1.941176   38.871530
    1.411765    1.941176   42.917324
    1.647059    1.941176   46.644417
    1.882353    1.941176   50.047236
    2.117647    1.941176   53.129352
    2.352941    1.941176   55.900685
    2.588235    1.941176   58.375079
    2.823529    1.941176   60.568345
    3.058824    1.941176   62.496774
    3.294118    1.941176   64.176067
    3.529412    1.941176   65.620584
    3.764706    1.941176   66.842860
    4.000000    1.941176   67.853298
    4.235294    1.941176   68.659997
    4.470588    1.941176   69.268691
    4.705882    1.941176   69.682760
    4.941176    1.941176   69.903335
    5.176471    1.941176   69.929493
    5.411765    1.941176   69.758574
    5.647059    1.941176   69.386662
    5.882353    1.941176   68.809279
    6.117647    1.941176   68.022343
    6.352941    1.941176   67.023426
    6.588235    1.941176   65.813329
    6.823529    1.941176   64.397900
    7.058824    1.941176   62.789919
    7.294118    1.941176   61.010749
    7.529412    1.941176   59.091295
    7.764706    1.941176   57.071784
    8.000000    1.941176   55.000000

    0.000000    2.029412   15.000000
    0.235294    2.029412   20.664270
    0.470588    2.029412   26.221782
    0.705882    2.029412   31.576243
